company_sort_id,management_name,management_title,management_department,director_type,management_url
167,Walter Koller,"Chief Operating Officer, Robinhood Financial",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Walter-Koller.png
167,Christina Lai,"Vice President, Deputy General Counsel and Corporate Secretary",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Christina-Lai.png
167,Seok Lee,"Vice President, Total Rewards",Management,/,https://s28.q4cdn.com/948876185/files/doc_person/2024/Aug/SL_wdvhpuHja.png
167,JB Mackenzie,"Vice President & General Manager, Futures & International",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/JB-Mackenzie.png
167,Lucas Moskowitz,General Counsel,Management,/,https://s28.q4cdn.com/948876185/files/doc_person/2024/Aug/Lucas-Moskotwitz_5rsnEMw20.png
167,Oren Naim,"Vice President, Platforms",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Oren-Naim.png
167,Steve Quirk,Chief Brokerage Officer,Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Steve-Quirk.png
167,Deepak Rao,"General Manager, Robinhood Money",Management,/,https://s28.q4cdn.com/948876185/files/images/RH-Logo.jpeg
167,Connie Schan,"Vice President, People",Human Resource,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Connie-Schan.png
167,Siva Subramanian,"Vice President, Engineering",Technology,/,https://s28.q4cdn.com/948876185/files/doc_person/2024/Aug/Siva_0GibuWWwM.png
167,Shiv Verma,"Vice President, Finance & Strategy, Treasurer",Finance,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Shiv-Verma.png
167,Jason Warnick,Chief Financial Officer,Finance,/,https://s28.q4cdn.com/948876185/files/images/Jason-Optimized.png
167,Brandon Webb,"Vice President, Finance, Corporate Controller",Finance,/,https://s28.q4cdn.com/948876185/files/doc_person/2024/Aug/NEW_AM-sVXnnv.png
167,Andrea Williams,"Vice President, Communications",Management,/,https://s28.q4cdn.com/948876185/files/doc_person/2024/Aug/Andrea-Williams_XQ2Z4mhi9.png
168,Rodrigo Baer,Board Observer,Director,Executive Director,/
168,Nicolas Szekasy,Board Member,Director,Executive Director,/
168,Jonathan Whittle,Board Member,Director,Executive Director,/
168,Manoel Lemos,Board Member,Director,Executive Director,/
168,King Goh,Board Observer,Director,Executive Director,/
169,Mario Mello,Board Member,Director,Executive Director,/
170,Anthony Noto,Chief Executive Officer,Director,Executive Director,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Noto_Headshot_Oct2023%402x.png
170,Anna Avalos,Chief People Officer,Human Resource,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Anna-Avalos%402x.png
170,Kelli Keough,"EVP, Group Business Unit Leader for Spend, Invest, Protect and Save",Management,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Kellie-Keough%402x.png
170,Chris Lapointe,Chief Financial Officer,Finance,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/christopher_lapointe_headshot_2024_720.png
170,Arun Pinto,Chief Risk Officer,Management,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Arun_Pinto.png
170,Jeremy Rishel,Chief Technology Officer,Technology,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Jeremy-Rishel%402x.png
170,Eric Schuppenhauer,"EVP, Group Business Unit Leader, Borrow",Management,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Eric_Schuppenhauer.png
170,Stephen Simcock,General Counsel,Management,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Stephen_Simcock.png
170,William Tanona,SVP of Corporate Development & Strategic Partnerships,Management,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/William-Tanona%402x.png
170,Lauren Stafford Webb,Chief Marketing Officer,Management,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Lauren-Stafford-Webb%402x.png
170,Katie Wells,"EVP & Group Business Unit Leader, Member",Management,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Katie-Wells%402x.png
170,Derek White,"Chief Executive Officer, Galileo Financial Technologies",Finance,/,https://d32ijn7u0aqfv4.cloudfront.net/wp/wp-content/uploads/raw/Derek-White%402x.png
170,Tom Hutton,Chairman,Director,Executive Director,/
170,Steven Freiberg,Vice Chairman,Director,Executive Director,/
170,Ahmed Al-Hammadi,Board Member,Director,Executive Director,/
170,Ruzwana Bashir,Board Member,Director,Executive Director,/
170,Mike Bingle,Board Member,Director,Executive Director,/
170,Bill Borden,Board Member,Director,Executive Director,/
170,Dana Green,Board Member,Director,Executive Director,/
170,John Hele,Board Member,Director,Executive Director,/
170,Clara Liang,Board Member,Director,Executive Director,/
170,Gary Meltzer,Board Member,Director,Executive Director,/
170,Harvey Schwartz,Board Member,Director,Executive Director,/
170,Magdalena Yeşil,Board Member,Director,Executive Director,/
171,Brain Armstrong,Co-Founder & Chief Executive Officer,Director,Executive Director,https://images.ctfassets.net/o10es7wu5gm1/Gb1z4fQgJf1R0iluwQnMG/d3d2971f9ff61ea87ae4df7fe04fe4de/brian.jpg
171,Emilie Choi,President & Chief Operating Officer,Management,/,https://images.ctfassets.net/o10es7wu5gm1/52qDvIszpcqMROGuUIMcPx/317271995dfd6c94dfba5efb64ef1aa9/emilie.jpg
171,Alesia Haas,Chief Financial Officer,Finance,/,https://images.ctfassets.net/o10es7wu5gm1/7gp2IVIo7zUrl6qeqADCqQ/18edb3a280a5056ebd57842b0f43620b/alesia.jpg
171,L.J. Brook,Chief People Officer,Human Resource,/,https://images.ctfassets.net/o10es7wu5gm1/6ocC5nXlz4Zf5Xk2gBhfXN/ae741c3fdacfcd297030dde389ba0d7e/LJ.jpg
171,Paul Grewal,Chief Legal Officer,Management,/,https://images.ctfassets.net/o10es7wu5gm1/2gA2Flo13wU6DthS5Lvzct/f4629c582053b812995f38e9e00d6681/paul.jpg
171,Manish Gupta,"EVP, Engineering",Technology,/,https://images.ctfassets.net/o10es7wu5gm1/24NvILrwg9YreAQ5AblUEi/cc58cbd1f006fa828b66f7177e6d99c7/manish.jpg
171,Gregory Tusar,"VP, Institutional Product",Product,/,https://images.ctfassets.net/o10es7wu5gm1/5668QDff0kbF1H9jaLw5ek/bf12d390e954435d88d830580f81557b/greg.jpg
171,Max Branzburg,"VP, Product",Product,/,https://images.ctfassets.net/o10es7wu5gm1/6k035T1wPjcvCMbcLDHsUy/1665721cb42a7f3147b42d24e934f030/max.jpg
171,Fred Ehrsam,Co-Founder & Board Director,Director,Executive Director,/
171,Fred Wilson,Lead Independent Director,Director,Independent Non - Executive Director,/
171,Paul Clement,Board Director,Director,Executive Director,/
171,Christa Davies,Board Director,Director,Executive Director,/
171,Kelly Kramer,Board Director,Director,Executive Director,/
171,Chris Lehane,Board Director,Director,Executive Director,/
171,Tobias Lütke,Board Director,Director,Executive Director,/
171,Gokul Rajaram,Board Director,Director,Executive Director,/
172,Francesco Testa,Head of IT Architectures,Technology,/,https://d1hbpr09pwz0sk.cloudfront.net/profile_pic/francesco-testa-2595f2bb
172,Mirko Amato,Area Manager,Sales,/,https://s3.amazonaws.com/media.mixrank.com/profilepic/b97139bbd9506eec6b8d91d7d1c6dfbf
172,Sandra Aitken,Marketing and Communication,Marketing,/,https://s3.amazonaws.com/media.mixrank.com/profilepic/13b75774118ca497f353ac392b124541
172,Laura De Tommaso,Senior Financial Advisor,Finance,/,https://d2gjqh9j26unp0.cloudfront.net/profilepic/215b2b964fcd4f1e42c591f67e3076f4
172,Fabio Pierpaoli,HR Director,Human Resource,/,/
173,Joe Kauffman,CEO,Director,Executive Director,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Joe-Kauffman.png?auto=compress
173,Kenneth Lin,Founder,Director,Executive Director,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Ken-Lin.png?auto=compress
173,Ryan Graciano,Chief Product Officer and Co-Founder,Product,/,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Ryan-Graciano.png?auto=compress
173,Natasha Madan,Chief Marketing Officer,Management,/,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Natasha-Madan.png?auto=compress
173,Susannah Stroud Wright,Chief Legal Officer,Management,/,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Susannah-Wright-2.png?auto=compress
173,Gannesh Bharadhwaj,Chief Business Officer,Management,/,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Gannesh-Bharadhwaj.png?auto=compress
173,Nicole James,Chief People Officer,Human Resource,/,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Nicole-James-2.png?auto=compress
173,Wan Agus,Interim Chief Technology Officer,Technology,/,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Wan-Agus.png?auto=compress
173,Frank Vitale,"Vice President, Finance and Analytics",Finance,/,https://creditkarma-cms.imgix.net/wp-content/uploads/2024/07/Frank-Vitale.png?auto=compress
174,Valentin Stalf,Founder and Chief Executive Officer,Director,Executive Director,https://images.ctfassets.net/q33z48p65a6w/36MCsRoLCkNgeNbzYlC3Tx/de3de62ea1541c0a5ebe3db747cbfed0/N26__1_Valentin_Stalf_close_up2_c_N26.jpg?fit=thumb&fm=webp&h=1000&q=80&w=1000
174,Maximilian Tayenthal,"Founder, Co-CEO and COO",Director,Executive Director,https://images.ctfassets.net/q33z48p65a6w/RYYnJAtqcUsSkI0EECSiM/4fce1aff584e6368192bc65f707b73d5/N26__3_Maximilian_Tayenthal_c_N26.jpg?fit=thumb&fm=webp&h=1000&q=80&w=1000
174,Carina Kozole,Managing Director and Chief Risk Officer,Management,/,https://images.ctfassets.net/q33z48p65a6w/65xwDihzQlpXPgZw2STacY/26e595214436057f80271bb14ae8c5af/Carina_Kozole_CRO_N26_150dpi.jpg?fit=thumb&fm=webp&h=666&q=80&w=1000
174,Jan Stechele,Managing Director and Chief Regulatory Officer,Management,/,https://images.ctfassets.net/q33z48p65a6w/CMhA14fXvxC2zhVf21Lnm/06890f4ff5d04b2cf2464cdcb006d687/N26__2_Jan_Stechele_c_N26.jpg?fit=thumb&fm=webp&h=666&q=80&w=1000
174,Arnd Schwierholz,Chief Financial Officer,Finance,/,https://images.ctfassets.net/q33z48p65a6w/3CkmkKp9n7Gk0E0S3kje2X/c0ece53ee07e9cf1b8452c983cbb92c7/N26__1_Arnd_Schwierholz_c_N26.jpg?fit=thumb&fm=webp&h=668&q=80&w=1000
174,Gino Cordt,Chief Technology Officer,Technology,/,https://images.ctfassets.net/q33z48p65a6w/5DayxdBXPhm6Vb3kgiyEKZ/10194b82adc51f29a6de3a72b8a958c3/N26__2_Gino_Cordt_c_N26.jpg?fit=thumb&fm=webp&h=666&q=80&w=1000
